Timestamp,CPU_Temperature,CPU_Temperature,GPU0_Temperature,GPU1_Temperature,GPU2_Temperature,GPU3_Temperature,GPU4_Temperature,GPU5_Temperature,GPU6_Temperature,GPU7_Temperature,MEM_TOTAL_MB,MEM_USED_MB
2025-08-12 04:12:35,36,37,32,31,32,31,33,32,32,32,,257609MB,2163MB
2025-08-12 04:12:37,38,38,32,31,32,31,33,32,32,32,,257609MB,2161MB
2025-08-12 04:12:38,38,39,32,31,32,31,33,32,32,32,,257609MB,2156MB
2025-08-12 04:12:40,39,39,32,31,32,31,33,32,32,32,,257609MB,2155MB
2025-08-12 04:12:41,39,39,32,31,32,31,33,32,32,32,,257609MB,2151MB
2025-08-12 04:12:43,39,39,32,31,32,31,33,32,32,32,,257609MB,2145MB
2025-08-12 04:12:44,39,40,32,31,32,31,33,32,32,32,,257609MB,2144MB
2025-08-12 04:12:46,39,40,32,31,32,31,33,32,32,32,,257609MB,2145MB
2025-08-12 04:12:47,40,40,32,31,32,31,33,32,32,32,,257609MB,2145MB
2025-08-12 04:12:49,40,40,32,31,32,31,33,32,32,32,,257609MB,2148MB
